block_height,elapsed_time
1,12.318195321s
2,28.80444866s
3,1m2.449133401s
4,45.557767749s
5,3m1.556405891s
6,3.959598373s
7,41.116822133s
8,1.553599618s
9,1m45.555062903s
10,10.475280107s
11,58.233626053s
12,1m48.560236027s
13,1m12.80516435s
14,35.737968662s
15,4m59.822233747s
16,31.104979402s
17,45.961116835s
18,23.96155462s
19,1m25.072486903s
20,3m39.945636805s
21,2m11.091204293s
22,4.851104889s
23,1m15.882032658s
24,11.095033478s
25,19.827239251s
26,1m13.489614814s
27,39.255415889s
28,10.159716721s
29,39.366815172s
30,18.882901792s
31,1.766728089s
32,56.05773579s
33,41.799590899s
34,58.676428737s
35,28.714354396s
36,2m20.31974085s
37,21.23686327s
38,1m43.53490914s
39,37.21672363s
40,19.235733338s
41,41.599090999s
42,22.930955017s
43,55.980918592s
44,3.306973021s
45,39.771211021s
46,29.372148117s
47,1m34.815810784s
48,50.508866679s
49,11.211658806s
50,2m39.481967025s
51,15.354431728s
52,44.500241692s
53,52.306882558s
54,1m1.695730874s
55,34.364820135s
56,1m7.201571888s
57,50.508023566s
58,34.726730461s
59,1m26.084817469s
60,9.579060215s
61,32.125042383s
62,10.146139488s
63,3.562349406s
64,24.053205895s
65,44.896545789s
66,57.833157408s
67,1m17.224496667s
68,10.112064075s
69,25.528847399s
70,27.966574946s
71,10.11403978s
72,1m20.778374737s
73,8.394603272s
74,3.79116067s
75,12.607556148s
76,2m49.440191261s
77,2m4.985949732s
78,7.927071072s
79,1m59.336474295s
80,57.066007141s
81,2m3.95441939s
82,14.238285134s
83,15.136751762s
84,14.158404598s
85,1m35.085130145s
86,47.160794278s
87,58.678786752s
88,1m17.348682172s
89,23.934068008s
90,34.68403555s
91,58.538090408s
92,1m9.744931736s
93,7.783819768s
94,4m48.504701776s
95,1m38.512805891s
96,31.532540854s
97,59.463445459s
98,1m1.350372995s
99,2m2.469081669s
100,18.123822731s
101,1m39.642205828s
102,42.275367435s
103,6.476748382s
104,12.45128673s
105,38.337118375s
106,23.419400084s
107,1m10.51689637s
108,5.232321229s
109,48.562190085s
110,1m15.859885132s
111,1m11.821586868s
112,20.512182251s
113,39.147180124s
114,1m30.543183474s
115,4.28696571s
116,5.928164801s
117,50.390593963s
118,6.21923036s
119,2.308093482s
120,27.414257448s
121,1m12.56074716s
122,1m58.044114968s
123,2.114121323s
124,1.819430728s
125,1m23.788515147s
126,58.378342726s
127,36.461350261s
128,24.385503549s
129,28.020245115s
130,6.689639903s
131,32.303455968s
132,1m12.250036919s
133,965.824853ms
134,2m4.904399773s
135,2m48.411545169s
136,1m23.892030453s
137,1m30.836002437s
138,7.62616833s
139,4.712310276s
140,1m56.491428606s
141,28.345672048s
142,31.959186777s
143,3m32.944258077s
144,43.157572818s
145,10.753751147s
146,51.468117448s
147,30.295038891s
148,12.125855693s
149,1m29.713531968s
150,30.406050905s
151,47.953161887s
152,8.698165372s
153,29.457108956s
154,1m0.820310478s
155,1m24.226120273s
156,9.862472125s
157,53.372850565s
158,1m28.773776091s
159,13.35066758s
160,6.856908008s
161,6.927888572s
162,2.979070687s
163,4.812524372s
164,12.905499706s
165,1m19.750253519s
166,1m14.567464216s
167,14.66604142s
168,28.267546969s
169,27.101873656s
170,15.01686551s
171,40.168755236s
172,17.848424988s
173,2m44.624243503s
174,1m20.838026639s
