block_height,elapsed_time
1,3m42.892971199s
2,9m26.210529965s
3,1m8.308854906s
4,1m47.639799865s
5,5m48.572048674s
6,37.209435484s
7,6m55.297233004s
8,3m37.156238713s
9,1m36.203924256s
10,8m42.922003359s
11,3m48.343406306s
12,44.295346091s
13,2m32.364289253s
14,5m38.734452206s
15,54.124602543s
16,1m51.972930174s
17,6m55.796377745s
18,2m57.55527769s
19,52.040801406s
20,1m3.800418177s
21,2m18.779059784s
22,5m57.678016199s
23,1m47.205305224s
24,11m42.169428507s
25,2m15.659887662s
26,6m47.915176701s
27,969.518671ms
28,1m29.276064365s
29,11m18.590224882s
30,5m38.929650335s
31,4m34.542534076s
32,4m42.299230672s
33,9m34.05058989s
34,8m52.244315186s
35,28.906003685s
36,1m23.770378442s
37,9m5.893344263s
38,16m20.340378839s
39,4m18.567215621s
40,2m47.913689057s
41,38.488027604s
42,4m52.139472677s
43,2m6.425072367s
44,3m30.149112865s
45,3m13.574794873s
46,4m11.346482582s
47,10.590162371s
48,7m46.906181008s
49,5m29.419927284s
50,3m53.735948496s
51,13.50822205s
52,1m6.140803608s
53,3m54.175929201s
54,3m47.110879148s
55,15m24.030329984s
56,5m48.12264264s
57,10m7.721390857s
58,2m53.096025734s
59,13m37.479277951s
60,4m5.329291224s
61,1m41.774282168s
62,5m7.728929583s
63,1m43.872040422s
64,2m31.76403869s
65,10m8.991693231s
66,1m6.920364423s
67,2m12.966096198s
68,2m9.651038457s
69,12m4.160020087s
70,3m45.640544769s
71,3m48.786631538s
72,12.27676844s
73,3m59.663990575s
74,4m31.369775747s
75,17.344558762s
76,1m26.95875694s
77,48.953118037s
78,2m50.135720483s
79,2m37.516626781s
80,7m7.306326533s
81,3m27.688140361s
82,21m33.581478671s
83,4.800785745s
84,22m50.458779571s
85,2m31.043920176s
86,9m0.673077346s
87,6m23.366113831s
88,44.358743597s
89,6m6.902616749s
90,2m55.458304505s
91,22m37.181442745s
92,8m46.328571248s
93,2m35.886892116s
94,1m12.908806898s
95,10m55.300257705s
96,2m26.158127845s
97,2m24.018604169s
98,7m12.149941058s
99,5m15.496906212s
100,2m51.028878338s
101,1m40.215282855s
102,4m33.99884009s
103,8m31.004883183s
104,11m9.65425255s
105,43.526125582s
106,14.618199069s
107,2m27.611612614s
108,8m15.685943749s
109,3m8.838919881s
110,7m1.270497433s
111,52.997052748s
112,2m4.246729061s
113,1m3.908223122s
114,7.523934981s
115,1m22.358099187s
116,4m17.103194188s
117,29.921164709s
118,35.016663461s
119,1m2.95264518s
120,1m8.817504725s
121,3m2.906616184s
122,1m6.04361735s
123,20.89285751s
124,24.891404906s
125,16.092930215s
126,5m57.776400825s
127,9m33.191823995s
128,2m20.624128373s
129,6m54.234956762s
130,1.178925268s
131,30m19.878635461s
132,5m3.028350933s
133,6.5152717s
134,5m43.502997189s
135,53.956013876s
136,5m59.350229959s
137,10m6.900774381s
138,4m27.818998066s
139,6m11.103340338s
140,5m44.460693007s
141,4m51.688060402s
142,2m8.918227493s
143,7m37.500916428s
144,5m34.773895727s
145,13m55.934022731s
146,28m51.408088996s
147,4m8.054344584s
148,340.979964ms
149,56.97567475s
150,2m48.638014707s
151,16m36.396082473s
152,2m42.251308688s
153,4m42.854331325s
154,53.322199648s
155,3m18.635599991s
156,53.704165171s
157,9m20.496341233s
158,4m58.323730081s
159,5m29.152928812s
160,11m42.848632372s
161,8m59.903477048s
162,2m1.551743828s
163,13m2.905708001s
164,2m12.571586782s
165,5m24.451438688s
166,3m44.185603191s
167,4m52.99408707s
168,2m59.712381332s
169,5m21.985074912s
170,4m50.784896397s
171,2m41.377698115s
172,18m11.433203471s
173,2m8.208809708s
174,2m36.950303186s
175,17m51.478808238s
176,2m34.358383007s
177,5m33.0728183s
178,11m25.683101238s
179,5m34.594753725s
180,6.617757747s
181,2m52.568051828s
182,5m3.548836396s
183,3m40.534662415s
184,2m48.994608977s
185,1m48.778690162s
186,16m6.116849571s
187,4m33.077553016s
188,1m6.710129038s
189,18m7.253577964s
190,3m24.315659803s
191,28.050901285s
192,11m37.411771095s
193,2m21.402410546s
194,3m25.363478412s
195,8m58.649897994s
196,5m6.713559592s
197,1.261357029s
198,21m15.622524168s
199,3m51.514001363s
200,5m4.835924603s
201,24.924773621s
202,7m22.717951017s
203,2m50.531263976s
204,18.102790501s
205,10m36.254964614s
206,31.600594491s
207,2m57.08426481s
208,3m1.847252518s
209,4m10.941153592s
210,3m24.547728616s
211,2m42.524773499s
212,1m25.93222682s
213,6m53.463196902s
214,28m3.194633673s
215,41.806153823s
216,28m12.081024818s
217,15.748082237s
218,3m45.193913542s
219,42.228026508s
220,6m58.563931088s
221,10m15.505897592s
222,1m19.445164127s
223,1m37.820842164s
224,6m51.639189561s
225,5m0.621866481s
226,23m18.384706586s
227,56.639146674s
228,3m3.241423116s
229,15.629368891s
230,1m54.571445257s
231,18.072987733s
232,7m55.635002479s
233,1m46.92076066s
234,7m53.238302923s
235,1m1.570914209s
236,18m1.253369899s
237,5m14.329378461s
238,46.340933139s
239,4m14.499646475s
240,8m36.689379517s
241,2m1.556028213s
242,3m19.60782676s
243,21m57.540435258s
244,49.168601841s
245,5m36.072420488s
246,29m42.474151588s
247,7m34.128052103s
248,1m0.594611248s
249,6m0.534171092s
250,11m25.727875395s
251,4m52.985878358s
252,3m39.375671841s
253,2m48.697770024s
254,1m4.802637421s
255,2m48.087621654s
256,3m47.188848199s
257,1m29.387207217s
258,7m10.945675021s
259,4m32.168172199s
260,25.482525171s
261,9m42.121464668s
262,2m34.143253084s
263,9.477459944s
264,3m5.629840908s
265,27.595235155s
266,1m11.96043655s
267,1m59.171842122s
268,1m15.190821337s
269,43m9.935756585s
270,25m54.86431262s
271,11.365598559s
272,2m40.632242999s
273,1m16.001558243s
274,2m34.666879307s
275,4m20.747759354s
276,1m14.689628071s
277,10m41.768986471s
278,2m14.869823881s
279,3m29.432730317s
280,2m13.100807833s
281,7m31.996653126s
282,1m1.115902888s
283,2m41.001483607s
284,13m56.341215295s
285,7m54.103692306s
286,4m35.457584471s
287,1m22.227176328s
288,25m11.386578764s
289,44.510385717s
290,8m38.754422904s
291,1m56.455258002s
292,2m57.818916445s
293,20m32.170171582s
294,55.165924015s
295,10m19.025810555s
296,1m2.189626276s
297,2m18.649373406s
298,8m28.250741791s
299,2m35.632846886s
300,3m8.638473092s
301,21.084431265s
302,2m40.368525382s
303,1.052423653s
304,10m17.680717726s
305,7m8.573185698s
306,4.418196565s
307,5m24.769427891s
308,6m7.029894948s
309,18.557004082s
310,4m44.516650911s
311,1m34.150094921s
312,3m52.933417993s
313,21.704380068s
314,35.043199762s
315,1m49.849396773s
316,10m51.962643998s
317,23m49.508957799s
318,11m52.373535679s
319,1m51.466426808s
320,2.915269075s
321,4m16.391938075s
322,2m1.030369526s
323,14m31.444044827s
324,3m50.113918822s
325,45.534542731s
326,4m56.492756322s
327,1m44.94046778s
328,1m6.651860769s
329,5m35.512000438s
330,1m22.852546997s
331,13m42.151994459s
332,1m20.679831157s
333,10m20.411940513s
334,15m38.135985512s
335,3.493060591s
336,5m43.103370794s
337,35.093679711s
338,9m31.62398535s
339,10m33.287119092s
340,2m22.148091744s
341,11m39.249585428s
342,12.921606001s
343,9m19.320903264s
344,1m1.304974706s
345,2m54.822588396s
346,11m30.078499266s
347,1m11.311767972s
348,41.311064662s
349,7m15.632733516s
350,8m32.838236882s
351,9m58.995103624s
352,6m55.833874287s
353,9m17.136675016s
354,1m47.192089181s
355,5m40.174855537s
356,36.308842935s
357,3m42.791121614s
358,13m34.654046816s
359,1.231966236s
360,4m44.533912157s
361,9m43.749228157s
362,1m22.273511672s
363,8m15.696012904s
364,3.820439818s
365,29.544010917s
366,8m9.832977255s
367,22m3.101497694s
368,1m59.783947131s
369,7m3.081986026s
370,2m56.129480849s
371,16m19.31063117s
372,35.308056023s
373,1m22.548591399s
374,17m10.176701814s
375,45.162133746s
376,5m14.27760817s
377,26.099199655s
378,15m6.681540595s
379,3m36.490808887s
380,3m53.338419164s
381,5m26.366681922s
382,6.383463276s
383,15.26681204s
384,3m58.300667967s
385,1m27.191225287s
386,7m37.234902919s
387,29.145250393s
388,2m27.968725415s
389,36.862540994s
390,10m45.80266263s
391,2m6.843093234s
392,2m26.867734962s
393,6m15.832653776s
394,40.810421567s
395,7m19.043472328s
396,9m16.383799034s
397,12.856027054s
398,1m3.415290311s
399,2m40.981317502s
400,41.977826311s
401,4m17.840993305s
402,3m47.629523211s
403,4m16.720271801s
404,12m3.335166535s
405,9m46.335813274s
406,1m18.392619655s
407,1m23.047836127s
408,1m4.708175981s
409,11m18.027999734s
410,57.163026342s
411,6m6.064545997s
412,14m16.368104123s
413,1m49.971232818s
414,8m50.08419156s
415,30.215580526s
416,49.70857573s
417,2m12.424841515s
418,15m21.78976946s
419,2m5.336521719s
420,3m28.659155137s
421,2m37.87927792s
422,3m42.49225823s
423,5m27.265790166s
424,1m32.266428971s
425,1m6.248639773s
