block_height,elapsed_time
1,34.061369629s
2,10.741204175s
3,13.317419221s
4,2.518999042s
5,26.084543855s
6,11.645375928s
7,22.029086983s
8,15.443590202s
9,1.280025627s
10,3.697090111s
11,1m12.520173948s
12,2.112488184s
13,4.298591071s
14,962.606697ms
15,12.878572755s
16,7.695390847s
17,5.881381832s
18,28.814901502s
19,13.286446223s
20,9.471006167s
21,10.200698955s
22,668.085919ms
23,19.803854069s
24,1.155225294s
25,6.314331904s
26,20.743160708s
27,24.25417728s
28,4.543981215s
29,435.000954ms
30,8.936933687s
31,8.930149081s
32,3.032944334s
33,1.168868293s
34,30.250402664s
35,1m3.615965142s
36,18.36083165s
37,27.729421925s
38,25.402429373s
39,1.380280196s
40,9.955015927s
41,3.513348594s
42,20.545098651s
43,19.653008561s
44,20.503736295s
45,10.403365786s
46,30.111092181s
47,12.580742353s
48,3.763848661s
49,9.240863012s
50,19.022439841s
51,12.507486389s
52,10.506883627s
53,1.527669853s
54,14.532329668s
55,20.12679903s
56,14.704648823s
57,15.960297867s
58,8.256209071s
59,2.824282413s
60,24.868409077s
61,15.712716271s
62,12.1333636s
63,36.819348275s
64,36.550187294s
65,3.878962623s
66,25.390964495s
67,5.4072806s
68,300.206134ms
69,4.433045816s
70,10.795674ms
71,14.454608881s
72,785.536139ms
73,1.343894598s
74,22.759470937s
75,4.441575902s
76,2.348999243s
77,15.063526445s
78,640.155869ms
79,26.741613285s
80,1m12.759566945s
81,37.816508201s
82,4.458205928s
83,31.859780653s
84,16.754729068s
85,1m5.289143966s
86,1m0.862171716s
87,4.455207175s
88,15.018897219s
89,3.602312448s
90,784.755829ms
91,15.787029788s
92,22.789950255s
93,15.324268158s
94,19.007050247s
95,51.598536227s
96,1.064302151s
97,3.000025017s
98,1.465368627s
99,1.692324943s
100,29.406544129s
101,13.043884067s
102,1.172474889s
103,51.55501272s
104,6.366369673s
105,38.078657146s
106,33.229932107s
107,10.567609954s
108,9.430868567s
109,16.450455549s
110,5.21017056s
111,3.988117684s
112,12.000724418s
113,20.65737277s
114,5.874207925s
115,2.247155872s
116,15.633776361s
117,683.985507ms
118,2.876935063s
119,1.800283871s
120,1.722950125s
121,31.522238079s
122,2.706493315s
123,5.096836629s
124,19.46332156s
125,1.343474248s
126,11.5105364s
127,2.424591751s
128,43.00097ms
129,28.237217249s
130,4.410785295s
131,2.029051675s
132,6.46138405s
133,16.906939166s
134,23.906104784s
135,14.367812959s
136,11.529915887s
137,2.191689672s
138,15.782789938s
139,12.003624233s
140,12.725628237s
141,6.728758627s
142,1.139255924s
143,6.718013438s
144,18.014926089s
145,14.259748171s
146,14.401878343s
147,14.987394482s
148,663.30484ms
149,2.3170523s
150,10.270739099s
151,11.333338123s
152,12.753372107s
153,21.093083571s
154,50.41743454s
155,8.916830961s
156,25.886077584s
157,635.064125ms
158,45.493335836s
159,300.48008ms
160,9.274850231s
161,12.444042379s
162,9.913127389s
163,22.848756433s
164,23.899092283s
165,24.876952535s
166,19.819912054s
167,10.095008929s
168,8.275324781s
169,10.347728086s
170,10.762339816s
171,863.059306ms
172,2.768287649s
173,11.824582617s
174,5.853181867s
175,15.066212551s
176,50.476871746s
177,6.319801963s
178,47.953309585s
179,5.642986145s
180,17.75931402s
181,1.120064246s
182,10.246988071s
183,251.583494ms
184,1.923500432s
185,23.220272801s
186,11.273687666s
187,19.919040476s
188,4.257556265s
189,16.112167848s
190,57.61884949s
191,1.154204143s
192,9.823994699s
193,7.605106083s
194,6.316246416s
195,10.402645991s
196,6.919209318s
197,10.622268659s
198,33.589107377s
199,5.041714859s
200,1.340160707s
201,5.411001155s
202,45.824276642s
203,15.669500752s
204,15.304529927s
205,4.410135048s
206,11.39145494s
207,3.00849385s
208,33.09064707s
209,15.329383379s
210,1.699568034s
211,16.174535914s
212,21.192981071s
213,13.360196858s
214,6.548868031s
215,18.934524297s
216,5.221587411s
217,136.083008ms
218,9.23101275s
219,24.438590616s
220,19.328691387s
221,13.134367455s
222,32.162538651s
223,2.36305883s
224,24.933425308s
225,9.905396923s
226,22.625000655s
227,25.225592821s
228,2.381080885s
229,16.976001056s
230,1.818500467s
231,26.552389886s
232,7.011090697s
233,12.276469699s
234,18.576307001s
235,5.614919016s
236,550.344882ms
237,14.911646782s
238,48.584986806s
239,1.362374841s
240,43.997206287s
241,1m4.507641222s
242,6.617539687s
243,44.484101067s
244,6.835073959s
245,2.319888023s
246,23.397837659s
247,1.65940285s
248,3.476509112s
249,31.914930612s
250,520.863583ms
251,2.761030902s
252,2.564972977s
253,8.759944518s
254,1m31.022562754s
255,4.875160577s
256,9.493612586s
257,12.743187078s
258,12.382087224s
259,28.666904049s
260,19.111605447s
261,3.397693752s
262,4.393500994s
263,19.978912796s
264,4.569726107s
265,26.899357791s
266,2.21675253s
267,1.245262589s
268,8.442663165s
269,9.37188022s
270,13.938287913s
271,13.711831884s
272,1.576795631s
273,24.094613594s
274,4.598558939s
275,18.521446141s
276,1.836936518s
277,4.097782341s
278,4.112074722s
279,14.987531224s
280,132.803312ms
281,22.79100722s
282,5.38438956s
283,4.438963367s
284,13.273756106s
285,883.030536ms
286,7.259473736s
287,20.216307688s
288,828.546636ms
289,6.944228219s
290,29.987998538s
291,11.911451784s
292,10.053640478s
293,18.516746869s
294,22.499274402s
295,48.801856553s
296,3.220873875s
297,24.949174752s
298,6.331275914s
299,74.247425ms
300,22.783305459s
301,21.130865088s
302,34.823900545s
303,16.508321436s
304,18.541731489s
305,30.30401569s
306,17.347806291s
307,45.848049736s
308,207.580896ms
309,6.861848064s
310,36.812118707s
311,2.191624113s
312,3.716716627s
313,3.194527514s
314,4.363289118s
315,22.27979838s
316,38.996237901s
317,1.88781777s
318,1.316437741s
319,19.036392621s
320,254.730639ms
321,1.419431612s
